,f__Acetivibrionaceae,f__Acetobacteraceae,f__Acidaminococcaceae,f__Actinomycetaceae,f__Acutalibacteraceae,f__Aerococcaceae,f__Aeromonadaceae,f__Akkermansiaceae,f__Alteromonadaceae,f__Amphibacillaceae,f__Anaerofustaceae,f__Anaeroplasmataceae,f__Anaerotignaceae,f__Anaerovoracaceae,f__Anoxybacillaceae,f__Arcobacteraceae,f__Atopobiaceae,f__BX7,f__Bacillaceae,f__Bacillaceae_B,f__Bacillaceae_C,f__Bacillaceae_D,f__Bacillaceae_G,f__Bacillaceae_H,f__Bacillaceae_I,f__Bacillaceae_L,f__Bacteroidaceae,f__Barnesiellaceae,f__Beijerinckiaceae,f__Bifidobacteriaceae,f__Borkfalkiaceae,f__Brachyspiraceae,f__Brevibacillaceae,f__Brevibacteriaceae,f__Bryobacteraceae,f__Burkholderiaceae,f__Butyricicoccaceae,f__CAG-138,f__CAG-239,f__CAG-272,f__CAG-274,f__CAG-288,f__CAG-312,f__CAG-313,f__CAG-314,f__CAG-382,f__CAG-449,f__CAG-508,f__CAG-552,f__CAG-74,f__CAG-826,f__CAG-917,f__CAG-977,f__CAIPTA01,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Cellulomonadaceae,f__Cellulosilyticaceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Coprobacteraceae,f__Coriobacteriaceae,f__DSM-1321,f__DSM-18226,f__Dehalobacteriaceae,f__Deinococcaceae,f__Dermabacteraceae,f__Dermatophilaceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dialisteraceae,f__Domibacillaceae,f__Dysgonomonadaceae,f__Eggerthellaceae,f__Egibacteraceae,f__Elusimicrobiaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelatoclostridiaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fastidiosipilaceae,f__Filifactoraceae,f__Flavobacteriaceae,f__Frankiaceae,f__Fusobacteriaceae,f__GCA-900066905,f__GWF2-45-14,f__Gastranaerophilaceae,f__Gemellaceae,f__Halomonadaceae,f__Heliobacteriaceae,f__JACDCH01,f__Jeotgalibacillaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__MARSEILLE-P3954,f__Marinifilaceae,f__Massilibacillaceae,f__Megasphaeraceae,f__Methanobacteriaceae,f__Methanomassiliicoccaceae,f__Methanomethylophilaceae,f__Methylophilaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Microcoleaceae,f__Monoglobaceae,f__Moraxellaceae,f__Muribaculaceae,f__Mycobacteriaceae,f__Mycoplasmoidaceae,f__NSJ-53,f__Negativicoccaceae,f__Neisseriaceae,f__Nitrososphaeraceae,f__Nocardioidaceae,f__Opitutaceae,f__Oscillospiraceae,f__Paenibacillaceae,f__Paludibacteraceae,f__Pasteurellaceae,f__Peptoniphilaceae,f__Peptostreptococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pyrinomonadaceae,f__QAKW01,f__Rhizobiaceae,f__Rhizobiaceae_A,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rikenellaceae,f__Rubrobacteraceae,f__Ruminococcaceae,f__SK-Y3,f__Saccharimonadaceae,f__Salinicoccaceae,f__Salisediminibacteriaceae,f__Selenomonadaceae,f__Shewanellaceae,f__Solirubrobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Streptomycetaceae,f__Streptosporangiaceae,f__Succinivibrionaceae,f__Synergistaceae,f__Syntrophomonadaceae,f__TK06,f__Tannerellaceae,f__Thermaceae,f__Thermicanaceae,f__Turicibacteraceae,f__UBA10450,f__UBA1067,f__UBA1381,f__UBA1390,f__UBA1407,f__UBA1820,f__UBA1829,f__UBA660,f__UBA932,f__UMGS1810,f__Vagococcaceae,f__Veillonellaceae,f__Vibrionaceae,f__Victivallaceae,f__WHSQ01,f__Weeksellaceae,f__X112,f__Xanthobacteraceae,f__Xanthomonadaceae
10317.000066634,0,0,2,0,176,0,0,17,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,894,36,0,0,0,0,0,0,0,20,4,3,4,4,9,0,0,5,0,0,0,78,0,317,0,0,0,0,0,0,0,0,3,0,0,0,120,0,0,0,2,0,0,0,0,12,0,0,0,0,2,0,0,0,0,129,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,505,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,50,2,0,0,0,63,0,2,0,0,0,0,0,0,0,0,74,0,308,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,214,0,0,0,0,0,6,0,0,12,0,722,0,0,0,0,0,0,0,0,0,0,0
10317.000001118,0,0,17,5,217,0,0,4563,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,489,7,0,116,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,34,0,4,5,0,0,905,7,104,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,52,0,0,0,31,31,0,0,0,134,0,0,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317.000004980,0,0,10,20,471,3,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,535,23,0,1168,0,0,0,0,0,0,6,8,0,0,0,0,0,5,0,0,0,39,0,153,0,0,0,0,0,0,0,0,0,15,0,0,6531,0,315,0,0,0,0,0,0,0,0,6,0,0,36,0,0,1,0,361,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1833,400,0,0,45,0,0,2,0,0,0,0,5,0,0,0,2,7,0,0,0,2,0,0,0,112,0,0,20,12,5176,0,3,0,0,0,0,0,0,0,0,122,0,2115,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,25,0,0,929,0,0,13,0,0,0,0,78,0,0,0,8,0,0,0,0,0,0,0
10317.000022492,0,0,326,0,31,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,7734,0,0,45,0,0,0,0,0,126,115,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,545,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1081,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,28,2,9,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,576,0,0,7,0,0,46,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10317.000003432,0,0,72,0,211,0,103,40,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5660,0,0,21,2,0,0,0,0,117,21,0,248,0,0,0,0,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,2,0,15,0,2,0,0,13,0,0,0,0,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347,0,0,0,201,0,0,0,0,0,0,0,4,0,0,0,0,146,0,0,0,5,0,0,0,349,0,0,10,6,13,0,0,0,0,0,0,0,0,0,0,458,0,2507,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,333,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
10317.000018054,0,0,59,0,812,0,0,8,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,4167,0,0,120,2,0,0,0,0,2,37,0,0,3,0,0,0,0,0,4,0,196,4,362,0,0,0,0,6,0,0,0,0,0,0,0,17,0,29,0,0,0,0,0,0,8,0,17,0,0,4,0,0,0,0,81,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,5965,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,217,0,0,64,108,268,0,21,0,6,0,0,0,0,0,0,144,0,2087,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,61,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0
10317.000065912,0,0,18,0,50,0,0,62,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,31,25,24,0,0,0,0,0,8,0,0,0,31,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,481,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,14,0,0,0,0,0,0,0,30,0,0,0,0,4,0,0,0,7,0,0,11,5,0,0,60,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
10317.000022155,0,0,72,4,542,3,0,20,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,877,13,0,762,0,0,0,6,0,19,14,10,2,0,0,9,0,0,0,0,3,627,0,953,0,0,0,0,0,0,0,0,0,0,0,12,215,0,44,0,0,0,0,12,0,5,3,305,0,0,13,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,2,0,0,23,0,0,0,0,0,0,13,8,0,0,0,23,1874,0,0,0,0,0,0,0,365,0,0,0,222,79,0,27,0,0,0,0,0,0,0,0,281,0,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,4,0,0,5,0,0,0,7,130,0,2,0,3,0,0,0,0,0,0,0
10317.000004693,0,0,236,0,282,0,0,0,0,0,0,0,72,10,0,0,7,0,0,0,0,0,0,0,0,0,5705,44,0,8,0,0,0,0,0,50,42,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,52,3,19,0,0,0,0,0,0,17,0,3,0,0,28,0,0,0,6,113,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2905,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,6,57,37,0,4,0,0,0,0,0,0,0,0,134,0,3934,0,0,0,0,182,0,0,0,0,0,33,0,0,0,0,0,0,211,0,0,0,0,0,72,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
10317.000045016,0,0,76,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7178,24,0,4,0,0,0,0,0,25,2,0,0,4,0,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,20,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,859,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,106,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,0,378,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,62,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
